"top.genre" "streams" "days"
"1" "R&B" 2603000 705
"2" "Pop" 1489000 718
"3" "Rap" 1273000 467
"4" "Pop" 2137000 1091
"5" "Pop" 1878000 1706
"6" "Rock" 1874000 1736
"7" "Electronic" 1585000 1294
"8" "Rap" 1562000 796
"9" "Pop" 2955000 1762
"10" "Pop" 1306000 775
"11" "Dance" 2136000 1923
"12" "Electronic" 1911000 950
"13" "Pop" 1865000 1881
"14" "Rap" 1766000 1279
"15" "Hip Hop" 1604000 3005
"16" "Dance" 1585000 1020
"17" "Rap" 1571000 1531
"18" "Rap" 1566000 1888
"19" "Dance" 1422000 3061
"20" "Hip Hop" 1285000 1510
"21" "Rap" 2289000 1510
"22" "Pop" 1721000 2693
"23" "Rap" 1695000 1343
"24" "Rap" 1536000 1188
"25" "Rock" 1524000 2381
"26" "Rap" 1451000 777
"27" "Rap" 1355000 698
"28" "R&B" 1354000 2352
"29" "Rap" 2076000 1112
"30" "Pop" 1871000 2693
"31" "R&B" 1685000 1869
"32" "Pop" 1662000 2186
"33" "Dance" 1664000 1715
"34" "Dance" 1640000 1133
"35" "Rock" 1599000 1651
"36" "Rap" 1572000 1685
"37" "Rock" 1566000 2973
"38" "Dance" 1543000 1174
"39" "Pop" 1411000 1096
"40" "Pop" 1384000 3145
"41" "Rap" 1357000 3732
"42" "Pop" 1979000 866
"43" "Hip Hop" 1832000 1384
"44" "Dance" 1681000 733
"45" "Rock" 1636000 4689
"46" "Hip Hop" 1513000 1679
"47" "Dance" 1467000 1916
"48" "Rap" 1458000 1825
"49" "Dance" 1430000 2760
"50" "Pop" 1414000 1979
"51" "Dance" 1399000 2550
"52" "Dance" 1281000 1629
"53" "Electronic" 1238000 1114
"54" "Rock" 1254000 4689
"55" "Pop" 2391000 908
"56" "Dance" 1670000 1553
"57" "Rap" 1495000 1286
"58" "Pop" 1425000 908
"59" "Rap" 1367000 1671
"60" "Dance" 1372000 1517
"61" "Pop" 1362000 3088
"62" "Dance" 1302000 1811
"63" "Dance" 1283000 2430
"64" "Dance" 1268000 1307
"65" "Rock" 1270000 1966
"66" "Rock" 1280000 3347
"67" "Pop" 1263000 1301
"68" "Hip Hop" 1243000 943
"69" "Pop" 1250000 4689
"70" "Dance" 1234000 1657
"71" "Dance" 1592000 1615
"72" "Pop" 1524000 2204
"73" "Dance" 1480000 2098
"74" "Pop" 1310000 2332
"75" "Dance" 1294000 1307
"76" "Rap" 1274000 1790
"77" "Dance" 1224000 2105
"78" "R&B" 1215000 2340
"79" "Dance" 1489000 1661
"80" "Rap" 1236000 1349
"81" "Pop" 1285000 2395
"82" "Pop" 1239000 2259
"83" "Rock" 1260000 4689
"84" "Rock" 1244000 3347
"85" "Electronic" 1232000 1210
"86" "Dance" 1223000 2725
"87" "Dance" 1350000 2105
"88" "Pop" 1351000 1253
"89" "Electronic" 1471000 2162
"90" "Pop" 1469000 3540
"91" "Dance" 1291000 2007
"92" "Dance" 1543000 2438
"93" "Dance" 1489000 1661
"94" "Hip Hop" 1231000 4689
"95" "Dance" 1391000 1126
"96" "Hip Hop" 2157000 2038
"97" "Pop" 1248000 2623
"99" "Dance" 1229000 1930
"100" "Dance" 1456000 2395
